model,n,ps,pd,h,b,w_self,T,steps_run,seed,init_mode,x0,noise,ndi_0,ndi_T,delta_ndi,island_sep_T
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,63,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,64,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,65,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,66,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,67,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,68,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,69,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,70,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,71,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,72,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,73,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,74,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,75,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,76,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,77,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,78,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,79,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,80,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,81,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,82,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,83,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,84,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,85,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,86,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,87,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,88,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,89,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,90,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,91,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,92,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,93,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,94,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,95,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
biased,100,0.1,0.1,1.0,1.0,0.0,50,50,96,theorem,0.7,0.05,159.9999999999973,159.9866558616613,-0.013344138336009337,0.3999833194792748
